record_id,cesky_nazev,vedecky_nazev,domena,poddomena,cast_rostliny,obdobi_ziskani,typicke_lokality_v_CR,forma_uchovani,orientacni_trvanlivost,poznamka_k_skladovani
R165,oskeruše domácí,Sorbus domestica,potrava,sušené plody,plod,IX–X,"jižní Morava, staré sady, vinohrady, teplé svahy",sušení,3–12 měsíců,Po usušení jde o zimní zásobu na více měsíců.
R166,bez černý,Sambucus nigra,pití,sušený bezový květ na čaj,květ,V–VI,"křoviny, okraje cest, remízky, ruderály, ploty",sušení,6–12 měsíců,Správně usušený květ vydrží měsíce a je praktičtější než čerstvé květy.
R167,bez černý,Sambucus nigra,potrava a pití,bezinkový sirup / šťávový koncentrát,plod,VIII–IX,"křoviny, okraje cest, remízky, ruderály, ploty",sirup / koncentrát,3–12 měsíců,Ve formě sirupu vydrží obvykle mnoho měsíců.
R168,bez černý,Sambucus nigra,pití,sušené bezinky do odvaru nebo čajové směsi,plod,VIII–IX,"křoviny, okraje cest, remízky, ruderály, ploty",sušení,3–12 měsíců,Dobře usušené plody vydrží měsíce.
R169,borůvka černá,Vaccinium myrtillus,potrava,sušené borůvky,plod,VII–IX,"acidofilní lesy, paseky, vřesoviště, horské a podhorské lesy",sušení,3–12 měsíců,Po dobrém usušení vydrží měsíce.
R170,jahodník obecný,Fragaria vesca,pití,sušený list na bylinný čaj,list,V–VIII,"světlé lesy, paseky, meze, stráně, zahrady",sušení,6–12 měsíců,Správně usušený list vydrží měsíce.
R171,maliník obecný,Rubus idaeus,pití,sušený list maliníku,list,V–VIII,"lesní paseky, okraje lesů, křoviny, zahrady",sušení,6–12 měsíců,Po usušení jde o standardní zásobu na měsíce.
R172,ostružiník křovitý,Rubus fruticosus agg.,pití,sušený list ostružiníku,list,V–VIII,"křoviny, paseky, náspy, okraje lesů, meze",sušení,6–12 měsíců,Usušený list je dobře skladovatelný po měsíce.
R173,rybíz černý,Ribes nigrum,potrava a pití,černorybízový sirup,plod,VII–VIII,"zahrady, drobné ovocné výsadby",sirup / koncentrát,3–12 měsíců,Ve formě sirupu běžně vydrží mnoho měsíců.
R174,líska obecná,Corylus avellana,potrava,skladované ořechy ve skořápce,ořech,IX–X,"lesní okraje, křoviny, meze, zahrady",suché skladování ve skořápce,6–12+ měsíců,"Ve skořápce a v chladu vydrží výrazně déle než měsíc, často přes zimu."
R175,líska obecná,Corylus avellana,potrava,olej z lískových ořechů,ořech,IX–X,"lesní okraje, křoviny, meze, zahrady",olej,3–6 měsíců,"Dobře uložený olej vydrží měsíce, ale je citlivější než celé ořechy."
R176,kopřiva dvoudomá,Urtica dioica,pití,sušený list na čaj nebo zelený prášek,list,IV–VI,"dusíkatá místa, zahrady, komposty, okraje cest, rumiště",sušení,6–12 měsíců,Po usušení vydrží měsíce a umožňuje využít jarní nadbytek i v zimě.
R177,pampeliška / smetanka,Taraxacum officinale agg.,pití,pražený kořen jako náhražka kávy,kořen,III–IV nebo IX–XI,"trávníky, louky, sady, okraje cest, ruderály",sušení,3–12 měsíců,Po usušení a opražení vydrží směs měsíce.
R178,bříza bělokorá / pýřitá,Betula pendula / Betula pubescens,pití,březový ocet,míza,III–IV,"paseky, lesní okraje, písčiny, vřesoviště, zahrady, remízky",ocet / octové kvašení,6–12+ měsíců,Ocet je výrazně trvanlivější než čerstvá míza.
R179,jalovec obecný,Juniperus communis,potrava,sušené jalovčinky jako koření,pseudoplod,IX–XI druhého roku,"suché stráně, pastviny, vřesoviště, světlé lesy; často spíše pěstování nebo nákup",sušení,3–12 měsíců,Sušené plody jsou typicky skladovatelné po mnoho měsíců.
R180,vrba,Salix spp.,fytoterapie,sušená kůra do zásoby na odvar,kůra,III–IV,"břehy, lužní porosty, vlhké louky; prakticky často kupovaná droga",sušení,6–12 měsíců,Dobře usušená kůra je skladovatelná měsíce až déle.
R181,dub,Quercus robur / Q. petraea / Q. pubescens,fytoterapie,sušená dubová kůra do zásoby,kůra,jaro,"dubiny, parky, remízky; v praxi spíše lékárenská droga",sušení,6–12 měsíců,Usušená droga je skladovatelná déle než měsíc.
R182,svízel vonný / mařinka vonná,Galium odoratum,vůně,aromatický sáček / potpourri,sušená nať,IV–V,"stinné listnaté lesy, humózní půdy, bučiny",sušení,6–12 měsíců,Usušená nať vydrží měsíce a vůně se po sušení často zvýrazní.
R183,chmel otáčivý,Humulus lupulus L.,vůně,sušené šištice do polštářku,samičí šištice,VIII–IX,"křoviny, lesní lemy, břehy, ploty, staré sady",sušení,3–12 měsíců,Dobře usušené šištice vydrží několik měsíců až sezónu.
R184,kmín kořenný,Carum carvi,potrava,sušené kmínové semeno jako koření,plod,VI–VIII,"louky, pole, pěstované porosty, sušší travnatá stanoviště",sušení,6–12 měsíců,Usušené plody vydrží měsíce až déle.
R185,řebříček obecný,Achillea millefolium,fytoterapie,tinktura nebo sušená droga,nať,VI–VIII,"louky, meze, úhory, okraje cest",sušení,6–12 měsíců,Sušená droga i tinktura běžně vydrží déle než měsíc.
R186,divizna,Verbascum densiflorum Bertol. / V. thapsus L. / V. phlomoides L.,pití,sušený květ do čaje,květ,VI–IX,"suché stráně, náspy, okraje cest, paseky, ruderály",sušení,6–12 měsíců,Správně usušený květ vydrží měsíce.
R187,sléz / sléz přehlížený,Malva sylvestris L. / Malva neglecta Wallr.,léčba,sušená slézová droga,list a květ,V–IX,"vesnické okraje, cesty, dvory, ruderály, zahrady",sušení,6–12 měsíců,Dobře usušená droga vydrží měsíce.
R188,mateřídouška,Thymus serpyllum agg.,potrava,sušená nať jako koření,nať,VI–VIII,"suché stráně, písčiny, meze, skalnatější trávníky",sušení,6–12 měsíců,Sušená nať vydrží měsíce a je praktičtější než čerstvá.
R189,meduňka lékařská,Melissa officinalis,pití,sušený list na čaj a aromatické sáčky,list,V–VIII,"zahrady, bylinkové záhony, občas okolí sídel",sušení,6–12 měsíců,"Kvalitně usušený list vydrží měsíce, i když vůně časem slábne."
R190,máta peprná,Mentha x piperita,pití,sušený list na čajové směsi,list,VI–VIII,"zahrady, vlhčí záhony, občas zplaňuje u sídel a vod",sušení,6–12 měsíců,Dobře usušený list vydrží měsíce.
R191,heřmánek pravý,Matricaria recutita,pití,sušený květ na čaj,květ,V–VIII,"pole, úhory, zahrady, slunné okraje cest",sušení,6–12 měsíců,Usušený květ je standardně skladovatelný po měsíce.
R192,jedle bělokorá,Abies alba,pití,sirup z mladých výhonků,mladé výhonky,V–VI,"podhorské a horské lesy, parky, zahrady",sirup / koncentrát,3–12 měsíců,Ve formě sirupu vydrží měsíce.
R193,smrk ztepilý,Picea abies,pití,sirup z mladých výhonků,mladé výhonky,V–VI,"horské a podhorské smrčiny, výsadby, zahrady",sirup / koncentrát,3–12 měsíců,Po zavaření vydrží měsíce.
R194,borovice lesní,Pinus sylvestris,pití,sirup z pupenů nebo výhonků,pupeny / mladé výhonky,IV–V,"borové lesy, písčiny, hospodářské porosty",sirup / koncentrát,3–12 měsíců,Sirup bývá skladovatelný měsíce.
R195,borůvka černá,Vaccinium myrtillus,potrava,borůvkový džem / zavařenina,plod,VII–IX,"acidofilní lesy, paseky, vřesoviště, horské a podhorské lesy",zavařenina,6–12 měsíců,Po zavaření běžně vydrží mnoho měsíců.
R196,maliník obecný,Rubus idaeus,potrava a pití,malinový sirup,plod,VII–VIII,"lesní paseky, okraje lesů, křoviny, zahrady",sirup / koncentrát,3–12 měsíců,Sirup vydrží měsíce a dobře zužitkuje přebytky úrody.
R197,ostružiník křovitý,Rubus fruticosus agg.,potrava a pití,ostružinový sirup nebo želé,plod,VIII–IX,"křoviny, paseky, náspy, okraje lesů, meze",sirup / koncentrát,3–12 měsíců,Zavařeniny vydrží měsíce.
R198,růže šípková,Rosa canina,potrava a pití,šípkový sirup / džem,šípek,IX–XI,"meze, křoviny, okraje cest, remízky",sirup / koncentrát,3–12 měsíců,Po zavaření vydrží měsíce.
R199,kdouloň obecná,Cydonia oblonga,potrava,kdoulová marmeláda / membrillo,plod,X–XI,"zahrady, staré sady, teplejší polohy",zavařenina,6–12 měsíců,V husté zavařené formě vydrží měsíce.
R200,rybíz červený,Ribes rubrum,potrava,rybízové želé,plod,VII–VIII,"zahrady, drobné ovocné výsadby",zavařenina,6–12 měsíců,Při správném zavaření běžně vydrží mnoho měsíců.
R201,ořešák královský,Juglans regia,potrava,sušené ořechy ve skořápce nebo vyloupané,semeno / jádro,IX–X,"sady, zahrady, aleje, starší vesnické zahrady",sušení / skladování v chladu,6–12 měsíců,Ve skořápce nebo dobře vysušené vyloupané jádro vydrží při chladu a suchu měsíce.
R202,ořešák královský,Juglans regia,pití,zelenovlašský likér / ořechovka,nezralý plod,VI,"zahrady, sady, vesnické zahrady",alkoholová macerace,6–12+ měsíců,Dobře filtrovaný a uzavřený likér běžně vydrží dlouho.
R203,ořešák královský,Juglans regia,fytoterapie,sušený list pro zevní oplachy a koupele,list,VI–VIII,"zahrady, sady, teplejší oblasti",sušení,3–12 měsíců,Správně usušený list vydrží měsíce pro zevní použití.
R204,dobromysl obecná,Origanum vulgare,potrava,sušená nať jako koření,nať,VII–IX,"suché stráně, meze, lesní lemy, zahrady, kamenité trávníky",sušení,6–12 měsíců,Jako koření drží při suchu a temnu dobře.
R205,dobromysl obecná,Origanum vulgare,pití,sušená nať na bylinný čaj,nať,VII–IX,"suché stráně, meze, lesní lemy, zahrady",sušení,6–12 měsíců,Jako čajová droga je dobře skladovatelný po celé sezóny.
R206,dobromysl obecná,Origanum vulgare,vůně,sušené svazečky nebo aromatické sáčky,nať,VII–IX,"suché stráně, zahrady, bylinkové záhony",sušené svazečky / sáčky,2–6 měsíců,"Aroma vydrží týdny až měsíce, pak slábne."
R207,pelyněk černobýl,Artemisia vulgaris,vůně,sušený vykuřovací svazeček / aromatická bylina,nať,VII–IX,"ruderály, okraje cest, náspy, příkopy, meze, úhory",sušený svazeček,3–12 měsíců,Při suchém skladování drží dlouho.
R208,pelyněk černobýl,Artemisia vulgaris,potrava,sušená nať jako hořké koření k tučným jídlům,nať,VII–VIII,"náspy, příkopy, ruderály, meze, okraje polí",sušení,3–12 měsíců,"Jako koření vydrží dobře, ale aroma časem slábne."
R209,pelyněk černobýl,Artemisia vulgaris,pití,hořký bylinný nálev,nať,VII–VIII,"náspy, meze, ruderály, okraje cest",sušení,3–12 měsíců,"Silná bylina, malé spotřeby, proto vydrží dlouho."
R210,dřišťál obecný,Berberis vulgaris,potrava,sušené plody jako kyselý dochucovač,plod,IX–X,"živé ploty, křoviny, teplejší stráně, zahrady",sušení,6–12 měsíců,Dobře usušené plody se chovají podobně jako jiné kyselé sušené bobule.
R211,dřišťál obecný,Berberis vulgaris,pití,sirup nebo želé z plodů,plod,IX–X,"živé ploty, křoviny, zahrady, teplejší lokality",sirup / želé,6–12+ měsíců,Po správném zavaření běžně drží mnoho měsíců.
R212,dub letní / dub zimní,Quercus robur / Q. petraea,potrava,usušené žaludy k pozdějšímu zpracování,žalud,IX–XI,"doubravy, parky, aleje, remízky, lesní okraje",sušení / mezisklad,3–8 měsíců,Usušené žaludy lze bezpečněji držet do dalšího zpracování.
R213,dub letní / dub zimní,Quercus robur / Q. petraea,potrava,žaludová mouka po vyluhování a dosušení,žalud,IX–XI,"doubravy, parky, aleje, lesní okraje",sušená mouka,1–6 měsíců,"Po vyluhování a dobrém dosušení je reálné několik měsíců, nejlépe v chladu."
R214,buk lesní,Fagus sylvatica,potrava,pražené bukvice jako zimní zásoba,bukvice,IX–X,"bučiny, parky, lesní okraje, aleje",pražení + suché skladování,1–3 měsíce,Tuková semena mají kratší optimální skladovatelnost.
R215,buk lesní,Fagus sylvatica,pití,pražené bukvice jako kávová náhražka,bukvice,IX–X,"bučiny, lesní cesty, parky",pražení + mletí,3–6 měsíců,Celá pražená surovina drží déle než namleté.
R216,buk lesní,Fagus sylvatica,potrava,olej z bukvic,bukvice,IX–X,"bučiny, parky, lesní okraje",lisovaný olej,6–12 měsíců,V uzavřené tmavé lahvi v chladu jde o měsíce.
R217,bříza bělokorá,Betula pendula,palivo,březová kůra jako troud a nouzový podpal,kůra,celoročně,"světlé lesy, nálety, okraje cest, paseky, březiny",suché skladování troudu,12+ měsíců,V suchu je březová kůra použitelná velmi dlouho.
R218,pampeliška lékařská,Taraxacum officinale agg.,pití,sušený kořen do zásoby pro pozdější pražení,kořen,III–IV a IX–XI,"louky, trávníky, meze, sady, okraje cest",sušení,6–12 měsíců,Kořen je po dosušení velmi dobře skladovatelný.
R219,pampeliška lékařská,Taraxacum officinale agg.,pití,pampeliškový sirup / „med“,květ,IV–V,"louky, trávníky, sady, meze",sirup / zavaření,3–12 měsíců,Dle koncentrace cukru a zavaření běžně drží měsíce.
R220,kopřiva dvoudomá,Urtica dioica,potrava,sušená kopřivová semena jako zásobní přísada,semeno,VIII–IX,"ruderály, zahrady, křoviny, dusíkatá místa, okraje cest",sušení,6–12 měsíců,"Semena po dosušení vydrží dobře, pokud nejsou vlhká."
R221,kopřiva dvoudomá,Urtica dioica,potrava,sušený kopřivový prášek do zásoby,list,III–V,"zahrady, dusíkatá místa, okraje křovin, vlhčí ruderály",sušení + mletí,3–9 měsíců,"Prášek drží kratší dobu než celé listy, ale stále měsíce."
R222,hloh obecný / jednosemenný,Crataegus monogyna Jacq. / C. laevigata (Poir.) DC.,pití,sušené hložinky do čajových směsí,plod,IX–XI,"křoviny, živé ploty, meze, lesní okraje, pastviny",sušení,3–12 měsíců,Suché plody do směsí drží dobře.
R223,jeřáb ptačí,Sorbus aucuparia,pití,jeřabinový likér / cordial,plod,IX–XI,"lesní okraje, horské a podhorské cesty, parky, aleje",alkoholová macerace,6–12+ měsíců,Likér nebo cordial je při správném uzávěru dlouhodobý.
R224,jeřáb ptačí,Sorbus aucuparia,pití,sušené jeřabiny do čajových směsí,plod,IX–XI,"podhorské cesty, lesní okraje, parky, remízky",sušení,3–12 měsíců,Po dobrém dosušení vhodné do zimních směsí.
R225,trnka obecná,Prunus spinosa,pití,trnkový likér,plod,IX–XI,"živé ploty, meze, okraje polí, křoviny, náspy",alkoholová macerace,6–12+ měsíců,Tradičně skladováno dlouhé měsíce.
R226,trnka obecná,Prunus spinosa,pití,sušené trnky do čajových směsí,plod,X–XI,"živé ploty, křoviny, meze, okraje polí",sušení,3–12 měsíců,"Sušené plody drží dobře, chuť zůstává výrazná."
R227,trnka obecná,Prunus spinosa,potrava,nakládané nezralé trnky jako „olivy“,nezralý plod,VI–VII,"živé ploty, meze, křoviny",nakládání,3–12 měsíců,Po naložení a uchování v chladu jde o měsíční až delší trvanlivost.
R228,svízel přítula,Galium aparine,pití,pražená semena jako kávová náhražka,semeno,VII–IX,"ploty, křoviny, ruderály, okraje zahrad, živé ploty",pražení + suché skladování,3–12 měsíců,Semena lze držet suchá a pražit průběžně nebo předem.
R229,kuklík městský,Geum urbanum,potrava,sušený kořen jako koření s hřebíčkovým tónem,kořen,III–V a IX–XI,"stinné cesty, lesní lemy, parky, křoviny, zdi a dvory",sušení,6–12 měsíců,Kořen jako koření drží výborně.
R230,kuklík městský,Geum urbanum,pití,sušený kořen do odvaru nebo svařených nápojů,kořen,III–V a IX–XI,"lesní cesty, parky, stinné okraje sídel",sušení,6–12 měsíců,Sušený kořen do nápojů funguje podobně jako jiné kořenné drogy.
R231,kuklík městský,Geum urbanum,vůně,usušený kořen do prádla a skříní,kořen,III–V a IX–XI,"lesní lemy, stinné parky, cesty, křoviny",sušený aromatický sáček,3–12 měsíců,"Vůně drží měsíce, pak slábne."
R232,smrk ztepilý,Picea abies,vůně,smrková pryskyřice jako kadidlo / vykuřovadlo,pryskyřice,celoročně,"smrčiny, výsadby, podhorské lesy, zahrady",tvrdá pryskyřice,12+ měsíců,Pryskyřice je jedna z nejtrvanlivějších aromatických surovin.
R233,ostružiník křovitý,Rubus fruticosus agg.,pití,sušený list do zimních čajových směsí,list,V–VIII,"křoviny, paseky, náspy, lesní okraje, meze",sušení,6–12 měsíců,Listy při suchém uskladnění vydrží dobře přes zimu.
R234,jahodník obecný,Fragaria vesca,pití,sušený jahodníkový list na čaj,list,V–VIII,"lesní lemy, světliny, paseky, zahrady, stráně",sušení,6–12 měsíců,Jemný listový čaj dobře drží při suchu.
R235,bez černý,Sambucus nigra,pití,sušené bezinky do zimních směsí,plod,VIII–IX,"křoviny, remízky, ploty, okraje cest, ruderály",sušení,6–12 měsíců,"Dobře usušené plody vydrží mnoho měsíců, ale používají se po úpravě."
R236,jitrocel kopinatý,Plantago lanceolata,fytoterapie,sušený list do zásoby,list,V–VIII,"louky, meze, trávníky, okraje cest",sušení,6–12 měsíců,List jako sušená droga běžně vydrží po celé zimní období.
R237,růže šípková,Rosa canina,potrava,sušený šípkový prášek,šípkové slupky / dužnina,IX–XI,"meze, křoviny, remízky, okraje cest, lesní lemy",sušení + mletí,3–12 měsíců,"Prášek drží měsíce, pokud je opravdu suchý a bez chloupků."
R240,hloh obecný / jednosemenný,Crataegus monogyna Jacq. / C. laevigata (Poir.) DC.,pití,sušené listy na nálev / čajovou náhražku,mladé listy,IV–V + sušení,"meze, křoviny, remízky, lesní lemy",sušení listů na čajovou směs,6–12 měsíců,"V suchu, temnu a dobře uzavřené nádobě."
R242,pažitka pobřežní,Allium schoenoprasum,potrava,čerstvá nať / sušení / mražení,listy a květy,IV–VI,"zahrady, záhony, bylinkové výsadby; ve volné přírodě jen lokálně",sušení nebo mražení nasekaných listů,3–12 měsíců,"Sušenou pažitku držet v suchu a temnu, mraženou v dobře uzavřeném obalu."
R244,lípa srdčitá / lípa velkolistá,Tilia cordata / Tilia platyphyllos,pití,jarní míza / odpaření na sirup,míza,III–IV + odpaření,"listnaté lesy, parky, aleje, staré výsadby",odpaření mízy na koncentrát / sirup,6–12 měsíců,Po důkladném odpaření plnit horké do čistých lahví a skladovat v chladu a temnu.
R258,podběl lékařský,Tussilago farfara,pití,sušené listy a květy na občasný nálev,listy a květy,III–V + sušení,"jílovité náspy, okraje cest, výsypky, rumiště, vlhčí svahy a narušené půdy",sušení na čaj,cca 6–12 měsíců,"Sušit rychle v tenké vrstvě, skladovat v suchu a temnu. Kvůli alkaloidům jen střídmé a občasné použití."
R261,prvosenka jarní,Primula veris,potrava,květy do salátu / ozdoby / konzervy,květy,IV–V,"světlejší louky, remízky, okraje lesů, suché až mezofilní trávníky",zavařenina / květní konzerva,cca 6–12 měsíců,Zpracovat jen čisté květy bez stopek; po otevření uchovávat v chladu.
R264,hluchavka bílá,Lamium album,pití,sušené květy na jemný čaj,květy,V–IX + sušení,"živé ploty, křoviny, lemy cest, zahrady a ruderální okraje",sušení na čaj,cca 6–12 měsíců,Sušit v tenké vrstvě a chránit před zapařením. Uchovávat v uzavřené nádobě a temnu.
R267,trnovník akát,Robinia pseudoacacia,potrava,květy vařené / nápoj / zavařenina,květy,V–VI,"teplejší stráně, aleje, remízky, suché meze, městské a příměstské výsadby",sirup / zavařenina,cca 6–12 měsíců,Zpracovat jen samotné květy bez zelených částí; po otevření skladovat v chladu a vždy hlídat čistotu suroviny.
R270,vrbovka úzkolistá,Epilobium angustifolium,pití,fermentované a sušené listy na Ivan čaj,mladé listy a vrcholky,V–VIII + fermentace + sušení,"světliny, paseky, náspy, horské a podhorské disturbované lokality",fermentace + sušení,cca 6–18 měsíců,"Po fermentaci důkladně dosušit, jinak hrozí plesnivění. Uchovávat v suchu, temnu a těsné nádobě."
