durable_id,use_id,raw_record_id,plant_display_name,forma_uchovani_text,forma_uchovani_kategorie,orientacni_trvanlivost_text,poznamka_k_skladovani,processing_methods_text,processing_methods_count,is_core_item,proc_je_v_jadru
durable_r230,r230,R230,kuklík městský,sušení,suseni,6–12 měsíců,Sušený kořen do nápojů funguje podobně jako jiné kořenné drogy.,Sušení,1,True,nápojová verze téhož kořenného kořene
durable_r231,r231,R231,kuklík městský,sušený aromatický sáček,suseny_aromaticky_sacek,3–12 měsíců,"Vůně drží měsíce, pak slábne.",Sušení,1,False,
durable_r232,r232,R232,smrk ztepilý,tvrdá pryskyřice,tvrda_pryskyrice,12+ měsíců,Pryskyřice je jedna z nejtrvanlivějších aromatických surovin.,,0,True,mimořádně trvanlivá lesní vůně
durable_r233,r233,R233,ostružiník křovitý,sušení,suseni,6–12 měsíců,Listy při suchém uskladnění vydrží dobře přes zimu.,Sušení,1,True,"křoviny jako zdroj čaje, ne jen plodů"
durable_r234,r234,R234,jahodník obecný,sušení,suseni,6–12 měsíců,Jemný listový čaj dobře drží při suchu.,Sušení,1,True,listový čaj z velmi běžné lesní byliny
durable_r235,r235,R235,bez černý,sušení,suseni,6–12 měsíců,"Dobře usušené plody vydrží mnoho měsíců, ale používají se po úpravě.",Sušení,1,True,podzimní bez převedený do sušené zásoby
durable_r236,r236,R236,jitrocel kopinatý,sušení,suseni,6–12 měsíců,List jako sušená droga běžně vydrží po celé zimní období.,Sušení,1,True,velmi snadná a spolehlivá domácí léčivá zásoba
durable_r237,r237,R237,růže šípková,sušení + mletí,suseni_mleti,3–12 měsíců,"Prášek drží měsíce, pokud je opravdu suchý a bez chloupků.",Sušení,1,True,kompaktní forma jednoho z nejlepších českých plodů
durable_r240,r240,R240,hloh obecný / jednosemenný,sušení listů na čajovou směs,suseni_listu_na_cajovou_smes,6–12 měsíců,"V suchu, temnu a dobře uzavřené nádobě.",Sušení,1,False,
durable_r242,r242,R242,pažitka pobřežní,sušení nebo mražení nasekaných listů,suseni_nebo_mrazeni_nasekanych_listu,3–12 měsíců,"Sušenou pažitku držet v suchu a temnu, mraženou v dobře uzavřeném obalu.",Sušení · Mražení,2,False,
durable_r244,r244,R244,lípa srdčitá / lípa velkolistá,odpaření mízy na koncentrát / sirup,odpareni_mizy_na_koncentrat_sirup,6–12 měsíců,Po důkladném odpaření plnit horké do čistých lahví a skladovat v chladu a temnu.,Sirup / koncentrát,1,False,
