use_id,plant_id,raw_record_id,cesky_nazev_display,cast_rostliny_text,cast_rostliny_kategorie,cast_rostliny_je_kombinovana,domena,domena_slug,poddomena_text,poddomena_kategorie,status_znalosti,status_znalosti_slug,aplikovatelnost_v_cr,aplikovatelnost_slug,typicke_lokality_text,obdobi_ziskani_text,mesic_od,mesic_do,fenologicka_faze,zpusob_pripravy,cilovy_efekt,chutovy_profil,vonny_profil,palivovy_potencial_text,hlavni_rizika,kontraindikace_interakce,legalita_poznamka_cr,dukaznost_typ,dukaznost_skore,dukaznost_rank,ma_druhy_zdroj,je_trvanlive_1m_plus,je_v_jadru_bezne_1m_plus,processing_methods_text,processing_methods_count,ma_potravinove_konzervacni_metody,sber_doporuceni,kuratorska_poznamka
r011,plant_betula_pendula_betula_pubescens,R011,bříza bělokorá / pýřitá,list,listova_nadzemni_cast,False,fytoterapie,fytoterapie,nálev,caj_nalev,mainstream,mainstream,vysoká,vysoka,"paseky, lesní okraje, písčiny, rašelinné okraje",V–VI,5,6,mladé až plně vyvinuté listy,Nálev z listu jako tradiční prostředek ke zvýšení tvorby moči při drobných močových obtížích.,Tradiční močopudný/bylinný účel.,lehce travnatý,zelený,neaplikovatelné,Není vhodné při stavech vyžadujících lékaře.,Ne při stavech vyžadujících omezení tekutin; dle EMA věková omezení.,Běžný sběr mimo chráněné režimy.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé až plně vyvinuté listy; v datech je pro něj vedené období V–VI. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Lze vést odděleně od mízy, protože jde o jinou drogu i účel."
r012,plant_juniperus_communis,R012,jalovec obecný,pseudoplod,plodova_cast,False,potrava,potrava,koření,koreni_dochucovadlo,mainstream,mainstream,střední,stredni,"suché stráně, pastviny, vřesoviště, světlé lesy; často spíše pěstování nebo nákup",IX–XI,9,11,zralé tmavé pseudoplody obvykle druhého roku,"Rozdrcené pseudoplody do zvěřiny, kysaného zelí nebo marinád.","Kořenicí a konzervační efekt, pryskyřičná chuť.",pryskyřičně kořenitý,borovicově pryskyřičný,neaplikovatelné,"Silná chuť, nepřehánět množství.",U citlivých osob může dráždit; při renálních problémech opatrnost.,"V přírodě sběr jen tam, kde je to legální a nepoškozuje populaci; lokálně může být nevhodný.",EMA + etnobotanika,A,5,True,False,False,Kvašení / fermentace,1,True,"Sbírej jen správně určený, zdravý materiál v této fázi: zralé tmavé pseudoplody obvykle druhého roku; v datech je pro něj vedené období IX–XI. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",U jalovce je důležitá ekologická zdrženlivost.
r013,plant_juniperus_communis,R013,jalovec obecný,pseudoplod,plodova_cast,False,pití,piti,destilát / likér,liker_macerat,mainstream,mainstream,střední,stredni,"suché stráně, pastviny, vřesoviště; prakticky častěji pěstované či kupované plody",IX–XI,9,11,zralé pseudoplody,Historicky a kulinárně důležité aroma pro destiláty a likéry.,Aromatika a chuťový základ nápoje.,"pryskyřičný, hořkosladký",borovicově pryskyřičný,neaplikovatelné,Nezaměňovat s doporučením vysoké konzumace alkoholu.,Při zdravotních omezeních souvisejících s alkoholem nevhodné.,Sbírání ve volné krajině jen opatrně a legálně.,česká etnobotanika + EMA,B,4,True,False,False,Tinktura / alkoholová macerace,1,True,"Sbírej jen správně určený, zdravý materiál v této fázi: zralé pseudoplody; v datech je pro něj vedené období IX–XI. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Databázově vhodné jako samostatný nápojový řádek.
r014,plant_juniperus_communis,R014,jalovec obecný,větévky s plody,kombinovana_cast,True,potrava,potrava,uchování zvěřiny,ostatni_specialni,téměř zapomenuté,temer_zapomenute,střední,stredni,"suché stráně, pastviny, vřesoviště; historicky lovecké prostředí",IX–XI,9,11,větévky s aromatickými plody,V české etnobotanice zaznamenáno vkládání plodících větévek k uchovávané zvěřině.,Aroma a částečný konzervační/odpuzující efekt.,pryskyřičně kořenitý,silně pryskyřičný,neaplikovatelné,"Dnes hlavně historický detail, ne moderní hygienický standard.",Nevhodné zaměňovat za bezpečné skladování masa samo o sobě.,Pouze kurátorsko-historická položka.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: větévky s aromatickými plody; v datech je pro něj vedené období IX–XI. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Právě typ méně známé položky, kterou jsi chtěl zachytit."
r015,plant_juniperus_communis,R015,jalovec obecný,pseudoplod,plodova_cast,False,fytoterapie,fytoterapie,nálev / tradiční užití,caj_nalev,mainstream,mainstream,střední,stredni,"suché stráně, pastviny, vřesoviště; prakticky často kupovaná droga",IX–XI,9,11,zralé pseudoplody,Krátkodobé tradiční užití při drobných močových potížích a dyspepsii.,Tradičně zvýšení močení a úleva při nadýmání.,hořce pryskyřičný,pryskyřičný,neaplikovatelné,Nevhodné při závažném onemocnění ledvin; nepoužívat dlouhodobě.,EMA uvádí nevhodnost v těhotenství/kojení a u dětí/adolescentů.,Ve volné přírodě sbírat velmi střídmě a jen legálně.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: zralé pseudoplody; v datech je pro něj vedené období IX–XI. Sbírej jen zralé, zdravé a nepoškozené plody; přezrálé, plesnivé nebo otlačené kusy hned vyřaď a část plodů nech na stanovišti. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Silný příklad nutnosti oddělit kulinární a léčebné použití.
r016,plant_quercus_robur_q_petraea,R016,dub letní / dub zimní,žalud,semena_a_orisky,False,pití,piti,kávová náhražka,kavova_nahrada,méně známé,mene_zname,vysoká,vysoka,"dubiny, meze, remízky, aleje, parky",IX–X,9,10,zralé spadlé žaludy,Žaludy louhovat/zbavit hořkosti a pražit jako náhražku kávy.,Nouzový i chuťový nápoj bez kofeinu.,oříškově trpký,"pražený, lehce dřevitý",neaplikovatelné,Bez úpravy vysoká svíravost a horší stravitelnost.,Opatrnost u citlivého trávení.,Sbírat běžně lze; pozor na kontaminaci z parků a silnic.,etnobotanika + historická praxe,B,4,True,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: zralé spadlé žaludy; v datech je pro něj vedené období IX–X. Sbírej až plně vyzrálá a suchá semena nebo oříšky; část ponech pro obnovu porostu i pro živočichy. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Dobrá položka mezi potravou a „forgotten beverage“.
r017,plant_quercus_robur_q_petraea_q_pubescens,R017,dub,kůra,drevnata_cast,False,fytoterapie,fytoterapie,adstringentní droga,ostatni_specialni,mainstream,mainstream,vysoká,vysoka,"dubiny, parky, remízky; v praxi spíše lékárenská droga",III–V nebo lékárenská droga,3,5,"mladší kůra, ale v praxi preferovat hotovou drogu",Tradičně při mírném průjmu a k výplachům/oplachům dutiny ústní či kůže.,Stahující účinek.,silně trpký,slabý dřevitý,neaplikovatelné,Třísloviny mohou dráždit při nevhodném použití; nebrat jako univerzální domácí kůru ze stromu.,U přetrvávajících nebo závažných stavů k lékaři.,Nestrhávat kůru z živých stromů; v praxi kupovaná droga.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladší kůra, ale v praxi preferovat hotovou drogu; v datech je pro něj vedené období III–V nebo lékárenská droga. Kůru neber dokola z kmene; šetrnější je odběr z menších větví nebo z materiálu určeného k řezu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Prakticky velmi užitečné, ale sběrově citlivé."
r018,plant_salix_spp,R018,vrba,kůra,drevnata_cast,False,fytoterapie,fytoterapie,odvar / extrakt,odvar,mainstream,mainstream,vysoká,vysoka,"břehy, lužní porosty, vlhké louky; prakticky často kupovaná droga",III–IV,3,4,kůra z mladých větví; prakticky preferovat hotovou drogu,"Tradičně na mírné bolesti kloubů, horečku spojenou s nachlazením a bolest hlavy.",Analgetický a febrifugní tradiční účel.,"silně hořká, svíravá",slabý dřevitý,neaplikovatelné,Není vhodné pro děti a osoby citlivé na salicyláty; možnost GIT potíží.,Interakce jako u salicylátů; opatrnost s antikoagulancii a ulceracemi.,Nepoškozovat dřeviny strháváním kůry; preferovat legální drogu.,EMA monografie,A,5,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: kůra z mladých větví; prakticky preferovat hotovou drogu; v datech je pro něj vedené období III–IV. Kůru neber dokola z kmene; šetrnější je odběr z menších větví nebo z materiálu určeného k řezu. U vodních a mokřadních stanovišť sbírej jen z čistých míst bez známek splachů, stok nebo stojaté znečištěné vody. Preferuj vlastní, pěstované nebo výslovně povolené zdroje; na cizí pozemek ani cizí dřevinu nezasahuj bez souhlasu. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Jeden z nejsilněji doložených stromových léčivých záznamů.
r019,plant_urtica_dioica,R019,kopřiva dvoudomá,mladé listy a vrcholy,listova_nadzemni_cast,False,potrava,potrava,jarní zelenina / polévka / špenát,cerstva_potrava,mainstream,mainstream,vysoká,vysoka,"dusíkatá místa, zahrady, komposty, okraje cest, rumiště",III–V,3,5,mladé vrcholy před hrubnutím,Krátce spařit nebo vařit; použít jako zelenou jarní zeleninu.,"Výživa, minerální a chuťový jarní zdroj.","zelený, špenátový, lehce minerální",zelený,neaplikovatelné,Starší rostliny hrubnou a mohou obsahovat více nežádoucích látek z kontaminovaných míst.,Vyhnout se sběru z kontaminovaných stanovišť.,Běžný sběr možný.,česká etnobotanika,B,4,False,False,False,,0,False,"Sbírej jen správně určený, zdravý materiál v této fázi: mladé vrcholy před hrubnutím; v datech je pro něj vedené období III–V. Ber hlavně mladé a zdravé listy nebo nať; neober jednu rostlinu úplně a sběr rozlož mezi více jedinců. Vyhni se lokalitám u silnic, postřiků, psích tras, skládek a jiných zdrojů kontaminace. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Dobrá kotva mezi planými jedlými bylinami.
r020,plant_fagus_sylvatica,R020,buk lesní,bukvice,semena_a_orisky,False,potrava,potrava,oříšek / olej,olej,méně známé,mene_zname,střední,stredni,"bučiny, podhorské a horské listnaté lesy",IX–X,9,10,plně zralé bukvice,"Historicky jedeny syrové i sušené; možné i lisování oleje, v praxi spíše malé množství a po úpravě.",Sezónní oříškový zdroj.,"oříškový, lehce máslový",slabý,neaplikovatelné,Ve větším množství syrové nevhodné; lepší tepelná úprava.,Opatrnost u citlivého trávení.,"Sbírat běžně lze, ale ne v chráněných režimech s omezením.",česká etnobotanika,B,4,False,False,False,Sušení,1,True,"Sbírej jen správně určený, zdravý materiál v této fázi: plně zralé bukvice; v datech je pro něj vedené období IX–X. Sbírej až plně vyzrálá a suchá semena nebo oříšky; část ponech pro obnovu porostu i pro živočichy. Respektuj chráněná území a druhovou ochranu; v rezervacích nebo u chráněných druhů se sběru vyhni, pokud nemáš jasné oprávnění. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.","Typická položka „známé, ale dnes málo prakticky využívané“."
r021,plant_rosa_canina,R021,růže šípková,šípek + semena,kombinovana_cast,True,potrava a pití,potrava_a_piti,čaj / džem / sirup / víno / náhražka kávy ze semen,caj_nalev,méně známé,mene_zname,vysoká,vysoka,"meze, křoviny, okraje cest, remízky",IX–XI,9,11,plně zralé šípky po vybarvení,"Plody na čaje, džemy, sirupy; v etnobotanice i polévky/chutney/vína; semena jako náhražka kávy.",Vitamínový a chuťový zdroj; zajímavý „forgotten“ přesah přes semena.,"kyselkavý, ovocný",ovocný,neaplikovatelné,Dráždivé chloupky uvnitř plodu; nutné dobře čistit.,"Bez zvláštních interakcí obvykle, ale pozor na nadměrnou kyselost u citlivých osob.",Běžný sběr možný.,česká etnobotanika,B,4,False,False,False,Sirup / koncentrát · Zavaření / sterilace ve sklenici · Cukrování / kandování / džem,3,True,"Sbírej jen správně určený, zdravý materiál v této fázi: plně zralé šípky po vybarvení; v datech je pro něj vedené období IX–XI. Ber jen zdravý a čistý materiál, sběr rozlož mezi více rostlin a nepoškoď stanoviště víc, než je nutné. Sbírej za sucha, do čisté prodyšné nádoby, bez zbytečného kontaktu se zeminou, a materiál co nejdřív zpracuj nebo usuš.",Semenná kávová náhražka je právě ten méně známý detail.
